buy_order,sell_order,sell_order_gain,sell_order_loss,portfolio_value,profit,total_buy_value,total_sell_value,num_oder,LoanBalance,CashBalance,buy_order_1m,buy_order_3m,buy_order_6m,buy_orders_1m_3m_per,buy_orders_1m_6m_per,sell_order_1m,sell_order_3m,sell_order_6m,sell_orders_1m_3m_per,sell_orders_1m_6m_per,avg_cash_1m,avg_cash_3m,avg_cash_6m,cash_vs_1m,cash_vs_3m,cash_vs_6m,avg_portfolio_value_1m,avg_portfolio_value_3m,avg_portfolio_value_6m,port_value_vs_1m,port_value_vs_3m,port_value_vs_6m,total_buy_value_1m,total_buy_value_3m,total_buy_value_6m,total_buy_order_1m_3m_per,total_buy_order_1m_6m_per,total_sell_value_1m,total_sell_value_3m,total_sell_value_6m,total_sell_order_1m_3m_per,total_sell_order_1m_6m_per,avg_stock_count_1m,avg_stock_count_3m,avg_stock_count_6m,stock_count_vs_1m,stock_count_vs_3m,stock_count_vs_6m,avg_loan_1m,avg_loan_3m,avg_loan_6m,loan_vs_1m,loan_vs_3m,loan_vs_6m,profit_1m,profit_3m,profit_6m,avg_profit_per_6m,So_huu_nha_nuoc,So_huu_nuoc_ngoai,stock_count_1 stock,stock_count_2 stock,stock_count_3 stock,stock_count_4 stock,stock_count_5 stock,stock_count_> 5 stock,profit_per_-1% => 0%,profit_per_-2% => -1%,profit_per_-4% => -2%,profit_per_0% => 1%,profit_per_1% => 2%,profit_per_2% => 4%,profit_per_< -4%,profit_per_>= 4%,profit_per_Not change,Gender_F,Gender_M,Gender_O,Age_24 => 31,Age_31 => 38,Age_38 => 45,Age_45 => 52,Age_52 => 59,Age_<= 24,Age_> 59,Age_O,region_AnGiang,region_BRVT,region_BacCan,region_BacGiang,region_BacKan,region_BacLieu,region_BacNinh,region_BenTre,region_BinhDinh,region_BinhDuong,region_BinhPhuoc,region_BinhThuan,region_CaMau,region_CanTho,region_CaoBang,region_DVSN,region_DaLat,region_DaNang,region_DakLak,region_DakNong,region_DienBien,region_DongNai,region_DongThap,region_GiaLai,region_HCM,region_HN,region_HaGiang,region_HaNam,region_HaTay,region_HaTinh,region_HaiDuong,region_HaiPhong,region_HauGiang,region_HoaBinh,region_HungYen,region_KhanhHoa,region_KienGiang,region_KonTum,region_LaiChau,region_LamDong,region_LangSon,region_LaoCai,region_LongAn,region_NamDinh,region_NgheAn,region_NhaTrang,region_NinhBinh,region_NinhThuan,region_Others,region_PhuTho,region_PhuYen,region_QuangBinh,region_QuangNam,region_QuangNgai,region_QuangNinh,region_QuangTri,region_SocTrang,region_SonLa,region_TTH,region_TayNinh,region_ThaiBinh,region_ThaiNguyen,region_ThanhHoa,region_TienGiang,region_TraVinh,region_TuyenQuang,region_VinhLong,region_VinhPhu,region_VinhPhuc,region_VungTau,region_YenBai,MA_std_0.3 => 0.7,MA_std_<= 0.3,MA_std_> 0.7,MA_std_No info,RSI_30 => 70,RSI_<= 30,RSI_> 70,RSI_No info,Price/BB_up_0.9 => 1,Price/BB_up_<= 0.9,Price/BB_up_> 1,Price/BB_up_No info,Price/BB_down_1 => 1.1,Price/BB_down_<= 1,Price/BB_down_> 1.1,Price/BB_down_No info,Price/KijunSen_<= 1,Price/KijunSen_> 1,Price/KijunSen_No info,Price/TenkanSen_<= 1,Price/TenkanSen_> 1,Price/TenkanSen_No info,Price/MA_20_<= 1,Price/MA_20_>= 1,Price/MA_20_No info,Price/MA_50_<= 1,Price/MA_50_>= 1,Price/MA_50_No info,Price/MA_100_<= 1,Price/MA_100_>= 1,Price/MA_100_No info,San_HNX,San_HOSE,San_No info,San_UPCOM,Nganh_Bia và đồ uống L3,Nganh_Bán lẻ L3,Nganh_Bảo hiểm nhân thọ L3,Nganh_Bảo hiểm phi nhân thọ L3,Nganh_Bất động sản L3,Nganh_Công nghiệp nặng L3,Nganh_Du lịch & Giải trí L3,Nganh_Dược phẩm L3,Nganh_Dịch vụ tài chính L3,Nganh_Hàng cá nhân L3,Nganh_Hàng công nghiệp L3,Nganh_Hàng gia dụng L3,Nganh_Hàng hóa giải trí L3,Nganh_Hóa chất L3,Nganh_Khai khoáng L3,Nganh_Kim loại L3,Nganh_Lâm nghiệp và Giấy L3,Nganh_Ngân hàng L3,Nganh_No info,Nganh_Nước & Khí đốt L3,Nganh_Phân phối thực phẩm & dược phẩm L3,Nganh_Phần mềm & Dịch vụ Máy tính L3,Nganh_Quỹ đầu tư L3,Nganh_Sản xuất & Phân phối Điện L3,Nganh_Sản xuất Dầu khí L3,Nganh_Sản xuất thực phẩm L3,Nganh_Thiết bị và Dịch vụ Y tế L3,Nganh_Thiết bị và Phần cứng L3,"Nganh_Thiết bị, Dịch vụ và Phân phối Dầu khí L3",Nganh_Thuốc lá L3,Nganh_Truyền thông L3,Nganh_Tư vấn & Hỗ trợ Kinh doanh L3,Nganh_Viễn thông cố định L3,Nganh_Viễn thông di động L3,Nganh_Vận tải L3,Nganh_Xây dựng và Vật liệu L3,Nganh_Ô tô và phụ tùng L3,Nganh_Điện tử & Thiết bị điện L3,DTT_2018_115 ty => 350 ty,DTT_2018_350 ty => 1150 ty,DTT_2018_<= 115 ty,DTT_2018_> 1150 ty,DTT_2018_No info,TT_DTT_0 => 0.1,TT_DTT_<= 0,TT_DTT_> 0.1,TT_DTT_No info,EPS_2018_1000 => 2500,EPS_2018_250 => 1000,EPS_2018_<= 250,EPS_2018_> 2500,EPS_2018_No info,LNST_2018_13 ty => 65 ty,LNST_2018_2 ty => 13 ty,LNST_2018_<= 2 ty,LNST_2018_> 65 ty,LNST_2018_No info,TT_LNST_0 => 0.2,TT_LNST_<= 0,TT_LNST_> 0.2,TT_LNST_No info,TTS_2018_170 ty => 450 ty,TTS_2018_450 ty => 1450 ty,TTS_2018_<= 170 ty,TTS_2018_> 1450 ty,TTS_2018_No info,TT_TTS_0 => 0.1,TT_TTS_<= 0,TT_TTS_> 0.1,TT_TTS_No info,VCSH_2018_200 ty => 600 ty,VCSH_2018_70 ty => 200 ty,VCSH_2018_<= 70 ty,VCSH_2018_> 600 ty,VCSH_2018_No info,EBITDA_36 ty => 140 ty,EBITDA_8 ty => 36 ty,EBITDA_<= 8 ty,EBITDA_> 140 ty,EBITDA_No info,EBITDA_per_0.05 => 0.1,EBITDA_per_0.1 => 0.2,EBITDA_per_<= 0.05,EBITDA_per_> 0.2,EBITDA_per_No info,ROE_0.05 => 0.1,ROE_0.1 => 0.2,ROE_<= 0.05,ROE_> 0.2,ROE_No info,ROA_0.01 => 0.05,ROA_0.05 => 0.1,ROA_<= 0.01,ROA_> 0.1,ROA_No info,EV_180 ty => 750 ty,EV_40 ty => 180 ty,EV_<= 40 ty,EV_> 750 ty,EV_No info,EV/EBITDA_1 => 4,EV/EBITDA_4 => 9,EV/EBITDA_<= 1,EV/EBITDA_> 9,EV/EBITDA_No info,P/E_5 => 8,P/E_8 => 18,P/E_<= 5,P/E_> 18,P/E_No info,P/B_0.5 => 0.8,P/B_0.8 => 1.5,P/B_<= 0.5,P/B_> 1.5,P/B_No info,Book_value_190 ty => 550 ty,Book_value_70 ty => 190 ty,Book_value_<= 70 ty,Book_value_> 550 ty,Book_value_No info,Market_size_150 ty => 600 ty,Market_size_50 ty => 150 ty,Market_size_<= 50 ty,Market_size_> 600 ty,Market_size_No info,TTS/VCSH_1.5 => 2,TTS/VCSH_2 => 3,TTS/VCSH_<= 1.5,TTS/VCSH_> 3,TTS/VCSH_No info
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.65371275,0.65371275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.3404171179,0.3404171179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.6495831556,0.6495831556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.13404870630000001,0.13404870630000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.5050054709,0.5050054709,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.4900040576,0.4900040576,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.0,3.189412948158724e-05,0.3620325206672696,0.0,0.0,0.0,0.00024638495014845974,9.605300419750404e-08,0.0,0.0,0.002902757619738752,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0449227264583646e-07,1.1771625290330241e-07,1.8952116349558376e-07,0.5952614781856166,0.4001315739218904,0.1881135378870152,3.120602548122055e-05,3.1078487915011267e-05,2.951325158839357e-05,0.2096529610357216,0.4901418800119754,0.7127821244010885,0.0,0.0,1.3277732933449165e-05,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02295918367346939,0.022916013788780918,0.022938285090114682,0.7,0.5909090909090909,0.5531914893617021,0.00024638494447370144,0.0002438948611913788,0.0002635993979349098,0.5985325198303864,0.6465255980339812,0.601533141285671,0.5076797757820138,0.02812321412901269,0.05272345537233896,0.0,0.8484612190999999,0.8484612190999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
